# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
0.0,0.0,AAA
0.0,0.0,BBB
0.0,0.0,CCC
0.005,0.0,eyes_closed
0.6833400003478444,1.5082526044837126,AAA
3.4160043132685187,1.9423622102022717,AAA
6.593909247438997,2.382037323686454,AAA
608.47,0.0,eyes_open
621.115,0.0,eyes_closed
634.25,0.0,eyes_open
652.61,0.0,eyes_closed
669.765,0.0,eyes_open
681.73,0.0,eyes_closed
694.045,0.0,eyes_open
706.575,0.0,eyes_closed
720.225,0.0,eyes_open
731.13,0.0,eyes_closed
742.995,0.0,eyes_open
757.815,0.0,eyes_closed
773.14,0.0,eyes_open
786.645,0.0,eyes_closed
802.55,0.0,eyes_open
814.385,0.0,eyes_closed
829.385,0.0,eyes_open
846.93,0.0,eyes_closed
860.435,0.0,eyes_open
878.735,0.0,eyes_closed
892.66,0.0,eyes_open
911.965,0.0,eyes_closed
932.765,0.0,eyes_open
952.865,0.0,eyes_closed
972.385,0.0,eyes_open
988.55,0.0,eyes_closed
1009.05,0.0,eyes_open
1026.51,0.0,eyes_closed
1050.46,0.0,eyes_open
1067.09,0.0,eyes_closed
1080.03,0.0,eyes_open
1094.725,0.0,eyes_closed
1104.935,0.0,hyperventilation_1
1168.42,0.0,hyperventilation_2
1233.285,0.0,hyperventilation_3
1296.21,0.0,recovery
1419.47,0.0,photic_stimulation/71
1421.745,0.0,photic_stimulation/5
1421.945,0.0,photic_stimulation/5
1422.145,0.0,photic_stimulation/5
1422.345,0.0,photic_stimulation/5
1422.545,0.0,photic_stimulation/5
1422.745,0.0,photic_stimulation/5
1422.945,0.0,photic_stimulation/5
1423.145,0.0,photic_stimulation/5
1423.345,0.0,photic_stimulation/5
1423.545,0.0,photic_stimulation/5
1423.745,0.0,photic_stimulation/5
1423.945,0.0,photic_stimulation/5
1424.145,0.0,photic_stimulation/5
1424.345,0.0,photic_stimulation/5
1424.545,0.0,photic_stimulation/5
1424.745,0.0,photic_stimulation/5
1424.945,0.0,photic_stimulation/5
1425.145,0.0,photic_stimulation/5
1425.345,0.0,photic_stimulation/5
1425.545,0.0,photic_stimulation/5
1425.745,0.0,photic_stimulation/5
1425.945,0.0,photic_stimulation/5
1426.145,0.0,photic_stimulation/5
1426.345,0.0,photic_stimulation/5
1426.545,0.0,photic_stimulation/5
1426.745,0.0,photic_stimulation/5
1426.945,0.0,photic_stimulation/5
1427.145,0.0,photic_stimulation/5
1427.345,0.0,photic_stimulation/5
1427.545,0.0,photic_stimulation/5
1427.745,0.0,photic_stimulation/5
1427.945,0.0,photic_stimulation/5
1428.145,0.0,photic_stimulation/5
1428.345,0.0,photic_stimulation/5
1428.545,0.0,photic_stimulation/5
1428.745,0.0,photic_stimulation/5
1428.945,0.0,photic_stimulation/5
1429.145,0.0,photic_stimulation/5
1429.345,0.0,photic_stimulation/5
1429.545,0.0,photic_stimulation/5
1429.745,0.0,photic_stimulation/5
1429.945,0.0,photic_stimulation/5
1430.145,0.0,photic_stimulation/5
1430.345,0.0,photic_stimulation/5
1430.545,0.0,photic_stimulation/5
1430.745,0.0,photic_stimulation/5
1430.945,0.0,photic_stimulation/5
1431.145,0.0,photic_stimulation/5
1431.345,0.0,photic_stimulation/5
1431.545,0.0,photic_stimulation/5
1436.735,0.0,photic_stimulation/5
1436.835,0.0,photic_stimulation/5
1436.935,0.0,photic_stimulation/5
1437.035,0.0,photic_stimulation/5
1437.135,0.0,photic_stimulation/5
1437.24,0.0,photic_stimulation/5
1437.335,0.0,photic_stimulation/5
1437.435,0.0,photic_stimulation/5
1437.535,0.0,photic_stimulation/5
1437.635,0.0,photic_stimulation/5
1437.735,0.0,photic_stimulation/5
1437.835,0.0,photic_stimulation/5
1437.935,0.0,photic_stimulation/5
1438.04,0.0,photic_stimulation/5
1438.135,0.0,photic_stimulation/5
1438.235,0.0,photic_stimulation/5
1438.335,0.0,photic_stimulation/5
1438.435,0.0,photic_stimulation/5
1438.54,0.0,photic_stimulation/5
1438.635,0.0,photic_stimulation/5
1438.735,0.0,photic_stimulation/5
1438.84,0.0,photic_stimulation/5
1438.935,0.0,photic_stimulation/5
